Time (hrs),Rjúpnasalir 2 (kW),Rjúpnasalir 1 (kW)
0.0,23.220447540283203,23.195690155029297
1.0,23.069717407226562,23.045263290405273
2.0,22.844497680664062,22.820493698120117
3.0,22.75802993774414,22.73419761657715
4.0,22.645870208740234,22.62226104736328
5.0,22.905054092407227,22.880929946899414
6.0,22.94832420349121,22.92411231994629
7.0,23.383281707763672,23.358192443847656
8.0,23.027189254760742,23.002819061279297
9.0,23.82764434814453,23.801645278930664
10.0,23.889305114746094,23.86318016052246
11.0,23.771923065185547,23.74604034423828
12.0,23.41240692138672,23.38726043701172
13.0,23.075498580932617,23.05103302001953
14.0,22.69183349609375,22.668132781982422
15.0,22.887760162353516,22.863670349121094
16.0,23.17982292175293,23.155147552490234
17.0,23.631366729736328,23.60577392578125
18.0,23.619667053222656,23.594097137451172
19.0,23.029220581054688,23.00484848022461
20.0,22.387977600097656,22.3648738861084
21.0,21.726404190063477,21.70457649230957
